	superclass
K06169	Translation/ribosome
K06173	Energy/central carbon
K06175	Translation/ribosome
K06176	Translation/ribosome
K06177	Translation/ribosome
K06178	RNA processing/degradation
K06179	RNA processing/degradation
K06180	RNA processing/degradation
K06181	RNA processing/degradation
K06182	RNA processing/degradation
K06183	RNA processing/degradation
K06186	Cell envelope/biogenesis
K06187	DNA replication/repair/maintenance
K06188	Transport
K06189	Antibiotic resistance/efflux
K06191	Other
K06192	Transport
K06193	Other
K06194	Transport
K06195	Other
K06197	Transport
K06198	Mobilome
K06199	Transport
K06200	Energy/central carbon
K06201	Other
K06202	Other
K06203	Other
K06204	RNA processing/degradation
K06205	Other
K06206	Carbohydrate metabolism
K06207	Energy/central carbon
K06209	Tryptophan metabolism
K06211	Transcriptional regulation
K06212	Transport
K06213	Transport
K06214	Transport
K06216	Transport
K06217	Energy/central carbon
K06218	RNA processing/degradation
K06219	Translation/ribosome
K06221	Energy/central carbon
K06222	Energy/central carbon
K06223	DNA replication/repair/maintenance
K06236	Other
K06286	Cell envelope/biogenesis
K06287	Carbohydrate metabolism
K06320	Translation/ribosome
K06338	Other
K06346	Defense systems
K06350	Other
K06351	Other
K06384	Cell envelope/biogenesis
K06386	Cell envelope/biogenesis
K06400	DNA replication/repair/maintenance
K06415	Cell envelope/biogenesis
K06442	RNA processing/degradation
K06445	Carbohydrate metabolism
K06447	Amino acid metabolism
K06518	Energy/central carbon
K06602	Transcriptional regulation
K06607	Energy/central carbon
K06608	Transcriptional regulation
K06609	Transport
K06610	Transport
K06718	Carbohydrate metabolism
K06720	Other
K06726	Energy/central carbon
K06857	Transport
K06858	Transport
K06861	Cell envelope/biogenesis
K06864	Amino acid metabolism
K06866	Cofactors/vitamins
K06867	Other
K06871	Other
K06872	Other
K06876	DNA replication/repair/maintenance
K06878	RNA processing/degradation
K06879	Other
K06881	Carbohydrate metabolism
K06884	Other
K06885	Other
K06889	Other
K06890	Other
K06891	Protein folding/quality control
K06893	Other
K06894	Other
K06895	Transport
K06898	Carbohydrate metabolism
K06899	Defense systems
K06901	Transport
K06902	Transport
K06904	Protein folding/quality control
K06907	Transport
K06908	Transport
K06909	Viral processes
K06910	Other
K06911	Energy/central carbon
K06915	DNA replication/repair/maintenance
K06916	Cell envelope/biogenesis
K06918	Other
K06919	DNA replication/repair/maintenance
K06920	Other
K06921	Other
K06923	Other
K06925	RNA processing/degradation
K06926	Other
K06929	Other
K06934	Other
K06938	Other
K06940	Other
K06941	RNA processing/degradation
K06942	Translation/ribosome
K06946	Other
K06948	Translation/ribosome
K06949	Translation/ribosome
K06950	Other
K06952	Nucleotide metabolism
K06954	Other
K06956	Other
K06957	Translation/ribosome
K06958	RNA processing/degradation
K06959	Other
K06960	Other
K06962	Other
K06966	Nucleotide metabolism
K06967	RNA processing/degradation
K06968	RNA processing/degradation
K06969	RNA processing/degradation
K06970	RNA processing/degradation
K06973	Other
K06975	Other
K06977	Other
K06978	Other
K06980	Translation/ribosome
K06988	Energy/central carbon
K06989	Amino acid metabolism
K06991	Other
K06994	Antibiotic resistance/efflux
K06996	Other
K06997	Other
K06998	Energy/central carbon
K06999	Carbohydrate metabolism
K07000	Other
K07001	Other
K07002	Amino acid metabolism
K07003	Other
K07004	Other
K07005	Other
K07006	Other
K07007	Energy/central carbon
K07009	Lipid metabolism
K07010	Amino acid metabolism
K07012	Defense systems
K07014	Other
K07015	Carbohydrate metabolism
K07018	Other
K07019	Other
K07023	Carbohydrate metabolism
K07025	Other
K07026	Carbohydrate metabolism
K07027	Carbohydrate metabolism
K07029	Carbohydrate metabolism
K07030	Lipid metabolism
K07032	Other
K07033	Other
K07034	Transport
K07035	Other
K07038	Transport
K07039	Other
K07040	Translation/ribosome
K07042	RNA processing/degradation
K07043	RNA processing/degradation
K07045	Other
K07050	RNA processing/degradation
K07052	Protein folding/quality control
K07053	Carbohydrate metabolism
K07054	Other
K07056	RNA processing/degradation
K07058	Transport
K07061	Defense systems
K07062	Defense systems
K07064	Other
K07069	Other
K07070	Other
K07071	Other
K07078	Other
K07082	Cell envelope/biogenesis
K07085	Transport
K07089	Other
K07090	Other
K07091	Transport
K07093	Other
K07095	Other
K07097	Other
K07098	Other
K07104	Energy/central carbon
K07105	Other
K07106	Energy/central carbon
K07107	Carbohydrate metabolism
K07109	Other
K07112	Other
K07113	Other
K07115	RNA processing/degradation
K07116	Carbohydrate metabolism
K07118	Other
K07119	Other
K07120	Other
K07121	Other
K07122	Transport
K07123	Other
K07124	Other
K07126	Other
K07127	Other
K07130	Other
K07133	Other
K07136	Other
K07137	Other
K07139	Other
K07140	Translation/ribosome
K07141	Cofactors/vitamins
K07146	Other
K07147	Amino acid metabolism
K07148	Other
K07149	Other
K07150	Other
K07152	Other
K07153	Other
K07154	Amino acid metabolism
K07156	Antibiotic resistance/efflux
K07157	Other
K07160	Carbohydrate metabolism
K07165	Signal transduction
K07166	Other
K07168	Transport
K07171	RNA processing/degradation
K07172	Defense systems
K07173	Energy/central carbon
K07177	Protein folding/quality control
K07180	Amino acid metabolism
K07183	RNA processing/degradation
K07184	Other
K07186	Transport
K07192	Other
K07213	Protein folding/quality control
K07214	Transport
K07215	Cofactors/vitamins
K07217	Transport
K07219	Cofactors/vitamins
K07221	Transport
K07222	Transport
K07223	Energy/central carbon
K07224	Transport
K07229	Cofactors/vitamins
K07230	Transport
K07232	Amino acid metabolism
K07233	Antibiotic resistance/efflux
K07235	Translation/ribosome
K07236	Translation/ribosome
K07237	Translation/ribosome
K07238	Transport
K07240	Transport
K07241	Transport
K07243	Transport
K07245	Antibiotic resistance/efflux
K07246	Energy/central carbon
K07248	Energy/central carbon
K07250	Synaptic pathways
K07251	Cofactors/vitamins
K07258	Amino acid metabolism
K07259	Amino acid metabolism
K07260	Carbohydrate metabolism
K07261	Cell envelope/biogenesis
K07262	Amino acid metabolism
K07263	Protein folding/quality control
K07264	Energy/central carbon
K07265	Transport
K07266	Transport
K07267	Transport
K07268	Defense systems
K07269	Cell envelope/biogenesis
K07271	Cell envelope/biogenesis
K07272	Carbohydrate metabolism
K07273	Transport
K07274	Other
K07275	Transport
K07276	Other
K07277	Transport
K07278	Other
K07282	Carbohydrate metabolism
K07283	Transport
K07284	Carbohydrate metabolism
K07285	Transport
K07286	Other
K07287	Cell envelope/biogenesis
K07289	Other
K07290	Other
K07300	Transport
K07301	Transport
K07302	Energy/central carbon
K07304	Amino acid metabolism
K07305	Amino acid metabolism
K07306	Carbohydrate metabolism
K07307	Carbohydrate metabolism
K07308	Carbohydrate metabolism
K07309	Other
K07313	Amino acid metabolism
K07315	Carbohydrate metabolism
K07316	DNA replication/repair/maintenance
K07317	DNA replication/repair/maintenance
K07318	DNA replication/repair/maintenance
K07319	DNA replication/repair/maintenance
K07320	Translation/ribosome
K07322	Signal transduction
K07323	Transport
K07326	Other
K07334	Defense systems
K07335	DNA replication/repair/maintenance
K07336	Other
K07337	Cell envelope/biogenesis
K07339	RNA processing/degradation
K07340	Transport
K07341	Other
K07343	DNA replication/repair/maintenance
K07344	Transport
K07345	Antibiotic resistance/efflux
K07346	Protein folding/quality control
K07347	Transport
K07348	Other
K07349	Other
K07350	Other
K07351	Other
K07352	Other
K07353	Protein folding/quality control
K07354	Transport
K07355	Other
K07356	Other
K07386	Carbohydrate metabolism
K07387	Other
K07390	Energy/central carbon
K07391	Transport
K07393	Other
K07396	Energy/central carbon
K07397	RNA processing/degradation
K07400	Translation/ribosome
K07401	Energy/central carbon
K07402	Transport
K07404	Carbohydrate metabolism
K07407	Carbohydrate metabolism
K07443	DNA replication/repair/maintenance
K07444	DNA replication/repair/maintenance
K07447	RNA processing/degradation
K07448	Defense systems
K07449	DNA replication/repair/maintenance
K07451	Carbohydrate metabolism
K07452	Carbohydrate metabolism
K07455	DNA replication/repair/maintenance
K07456	DNA replication/repair/maintenance
K07457	Defense systems
K07458	DNA replication/repair/maintenance
K07459	Defense systems
K07460	Defense systems
K07461	Defense systems
K07462	DNA replication/repair/maintenance
K07464	Defense systems
K07465	Defense systems
K07467	DNA replication/repair/maintenance
K07470	DNA replication/repair/maintenance
K07473	DNA replication/repair/maintenance
K07474	Viral processes
K07478	Energy/central carbon
K07479	DNA replication/repair/maintenance
K07480	Mobilome
K07482	Mobilome
K07483	Mobilome
K07484	Mobilome
K07485	Mobilome
K07486	Mobilome
K07487	Mobilome
K07490	Transport
K07491	Tryptophan metabolism
K07492	Mobilome
K07493	Mobilome
K07496	Mobilome
K07497	Mobilome
K07498	Mobilome
K07504	Defense systems
K07505	Transcriptional regulation
K07506	Transcriptional regulation
K07507	Transport
K07533	Energy/central carbon
K07535	Carbohydrate metabolism
K07552	Antibiotic resistance/efflux
K07559	RNA processing/degradation
K07560	RNA processing/degradation
K07566	Carbohydrate metabolism
K07568	RNA processing/degradation
K07570	Defense systems
K07571	RNA processing/degradation
K07574	RNA processing/degradation
K07584	Other
K07586	Other
K07589	Energy/central carbon
K07592	Transcriptional regulation
K07636	Signal transduction
K07637	Signal transduction
K07638	Signal transduction
K07639	Signal transduction
K07640	Signal transduction
K07641	Signal transduction
K07642	Signal transduction
K07643	Signal transduction
K07644	Signal transduction
K07645	Signal transduction
K07646	Signal transduction
K07648	Signal transduction
K07649	Signal transduction
K07652	Signal transduction
K07657	Signal transduction
K07658	Signal transduction
K07659	Signal transduction
K07660	Signal transduction
K07661	Signal transduction
K07662	Signal transduction
K07663	Signal transduction
K07664	Signal transduction
K07665	Signal transduction
K07666	Signal transduction
K07667	Signal transduction
K07668	Signal transduction
K07673	Signal transduction
K07674	Signal transduction
K07675	Signal transduction
K07676	Signal transduction
K07677	Signal transduction
K07678	Signal transduction
K07681	Signal transduction
K07683	Signal transduction
K07686	Signal transduction
K07687	Signal transduction
K07689	Signal transduction
K07693	Signal transduction
K07694	Signal transduction
K07696	Signal transduction
K07700	Signal transduction
K07701	Signal transduction
K07702	Signal transduction
K07703	Signal transduction
K07704	Signal transduction
K07705	Signal transduction
K07706	Signal transduction
K07707	Signal transduction
K07708	Signal transduction
K07711	Signal transduction
K07712	Transcriptional regulation
K07714	Signal transduction
K07715	Signal transduction
K07717	Signal transduction
K07718	Signal transduction
K07719	Signal transduction
K07720	Signal transduction
K07723	Transcriptional regulation
K07724	Transcriptional regulation
K07726	Transcriptional regulation
K07727	Transcriptional regulation
K07729	Transcriptional regulation
K07733	Transcriptional regulation
K07735	Transcriptional regulation
K07736	Transcriptional regulation
K07738	RNA processing/degradation
K07740	Transcriptional regulation
K07741	Other
K07742	Other
K07749	Carbohydrate metabolism
K07751	Carbohydrate metabolism
K07757	Carbohydrate metabolism
K07771	Signal transduction
K07773	Amino acid metabolism
K07774	Signal transduction
K07777	Signal transduction
K07778	Signal transduction
K07781	Transcriptional regulation
K07782	Transcriptional regulation
K07783	Transport
K07784	Antibiotic resistance/efflux
K07787	Antibiotic resistance/efflux
K07788	Antibiotic resistance/efflux
K07789	Antibiotic resistance/efflux
K07791	Transport
K07792	Transport
K07795	Transport
K07796	Antibiotic resistance/efflux
K07798	Antibiotic resistance/efflux
K07799	Antibiotic resistance/efflux
K07806	Energy/central carbon
K07810	Antibiotic resistance/efflux
K07812	Amino acid metabolism
K07813	Other
K07816	Carbohydrate metabolism
K07862	Transport
K07979	Transcriptional regulation
K08068	Energy/central carbon
K08070	Other
K08077	Carbohydrate metabolism
K08086	Motility/adhesion
K08093	Energy/central carbon
K08094	Energy/central carbon
K08097	Carbohydrate metabolism
K08100	Energy/central carbon
K08137	Transport
K08139	Transport
K08151	Antibiotic resistance/efflux
K08152	Antibiotic resistance/efflux
K08153	Antibiotic resistance/efflux
K08154	Antibiotic resistance/efflux
K08156	Transport
K08159	Transport
K08160	Antibiotic resistance/efflux
K08161	Antibiotic resistance/efflux
K08162	Antibiotic resistance/efflux
K08163	Antibiotic resistance/efflux
K08164	Antibiotic resistance/efflux
K08166	Antibiotic resistance/efflux
K08167	Antibiotic resistance/efflux
K08169	Antibiotic resistance/efflux
K08170	Antibiotic resistance/efflux
K08172	Tryptophan metabolism
K08173	Antibiotic resistance/efflux
K08174	Antibiotic resistance/efflux
K08177	Transport
K08178	Transport
K08191	Antibiotic resistance/efflux
K08194	Transport
K08195	Antibiotic resistance/efflux
K08196	Antibiotic resistance/efflux
K08217	Antibiotic resistance/efflux
K08218	Antibiotic resistance/efflux
K08219	Transport
K08221	Antibiotic resistance/efflux
K08223	Antibiotic resistance/efflux
K08224	Transport
K08225	Antibiotic resistance/efflux
K08227	Transport
K08234	Amino acid metabolism
K08261	Carbohydrate metabolism
K08276	Other
K08279	Transcriptional regulation
K08281	Other
K08289	Carbohydrate metabolism
K08296	Carbohydrate metabolism
K08300	Translation/ribosome
K08301	Translation/ribosome
K08302	Energy/central carbon
K08303	Carbohydrate metabolism
K08304	Cell envelope/biogenesis
K08305	Cell envelope/biogenesis
K08306	Cell envelope/biogenesis
K08307	Cell envelope/biogenesis
K08308	Cell envelope/biogenesis
K08309	Cell envelope/biogenesis
K08310	Carbohydrate metabolism
K08311	Nucleotide metabolism
K08312	Energy/central carbon
K08313	Energy/central carbon
K08314	Energy/central carbon
K08315	Protein folding/quality control
K08316	RNA processing/degradation
K08317	Other
K08318	Other
K08319	Other
K08320	Carbohydrate metabolism
K08321	Energy/central carbon
K08322	Energy/central carbon
K08323	Energy/central carbon
K08324	Energy/central carbon
K08325	Energy/central carbon
K08344	Antibiotic resistance/efflux
K08348	SCFA fermentation
K08349	SCFA fermentation
K08350	SCFA fermentation
K08351	Amino acid metabolism
K08364	Transcriptional regulation
K08365	Transcriptional regulation
K08368	Transport
K08369	Transport
K08483	Carbohydrate metabolism
K08484	Carbohydrate metabolism
K08485	Energy/central carbon
K08591	Lipid metabolism
K08602	Carbohydrate metabolism
K08641	Carbohydrate metabolism
K08659	Carbohydrate metabolism
K08676	Protein folding/quality control
K08677	Cell envelope/biogenesis
K08679	Energy/central carbon
K08680	Energy/central carbon
K08682	Lipid metabolism
K08693	Nucleotide metabolism
K08715	Transport
K08721	Antibiotic resistance/efflux
K08722	Carbohydrate metabolism
K08723	Nucleotide metabolism
K08724	Cell envelope/biogenesis
K08728	Nucleotide metabolism
K08738	Cofactors/vitamins
K08744	Carbohydrate metabolism
K08884	Amino acid metabolism
K08963	Energy/central carbon
K08964	Energy/central carbon
K08967	Energy/central carbon
K08968	Amino acid metabolism
K08969	Carbohydrate metabolism
K08970	Transport
K08972	Transport
K08973	Energy/central carbon
K08974	Transport
K08981	Transport
K08987	Transport
K08990	Transport
K08992	Cell envelope/biogenesis
K08993	Transport
K08994	Transport
K08995	Transport
K08996	Transport
K08997	Carbohydrate metabolism
K08998	Other
K09000	Defense systems
K09001	Energy/central carbon
K09003	Other
K09004	Other
K09005	Other
K09013	Other
K09014	Other
K09015	Other
K09016	Transport
K09017	Antibiotic resistance/efflux
K09018	Nucleotide metabolism
K09019	Other
K09020	Other
K09021	Other
K09022	Carbohydrate metabolism
K09023	Other
K09024	Cofactors/vitamins
K09065	Amino acid metabolism
K09117	Other
K09121	Energy/central carbon
K09125	Transport
K09131	Other
K09136	Translation/ribosome
K09153	Transport
K09155	Other
K09157	Other
K09159	Defense systems
K09160	Other
K09161	Other
K09167	Other
K09181	Carbohydrate metabolism
K09250	Other
K09251	Carbohydrate metabolism
K09384	Other
K09456	Carbohydrate metabolism
K09457	Other
K09458	Lipid metabolism
K09470	Other
K09471	Energy/central carbon
K09473	Synaptic pathways
K09474	Translation/ribosome
K09475	Transport
K09476	Transport
K09565	Energy/central carbon
K09612	Carbohydrate metabolism
K09684	Transcriptional regulation
K09685	Transcriptional regulation
K09688	Transport
K09689	Transport
K09690	Transport
K09691	Transport
K09692	Transport
K09693	Transport
K09694	Transport
K09695	Transport
K09697	Transport
K09698	Translation/ribosome
K09699	Energy/central carbon
K09702	Other
K09703	Other
K09704	Other
K09705	Other
K09710	Defense systems
K09712	Other
K09747	Defense systems
K09748	Translation/ribosome
K09758	Amino acid metabolism
K09760	DNA replication/repair/maintenance
K09761	RNA processing/degradation
K09762	Cell envelope/biogenesis
K09765	Other
K09767	Energy/central carbon
K09768	Other
K09769	Nucleotide metabolism
K09771	Antibiotic resistance/efflux
K09772	Cell envelope/biogenesis
K09773	Carbohydrate metabolism
K09774	Cell envelope/biogenesis
K09779	Other
K09780	Other
K09781	Other
K09786	Other
K09787	Other
K09790	Other
K09791	Other
K09795	Other
K09796	Protein folding/quality control
K09798	Other
K09800	Other
K09801	Other
K09802	Other
K09803	Other
K09806	Cofactors/vitamins
K09807	Other
K09808	Transport
K09809	Carbohydrate metabolism
K09810	Transport
K09811	Transport
K09812	Cell envelope/biogenesis
K09815	Transport
K09816	Transport
K09817	Transport
K09818	Transport
K09819	Transport
K09820	Transport
K09823	Transcriptional regulation
K09824	Other
K09825	Transcriptional regulation
K09835	Energy/central carbon
K09857	Transport
K09861	Other
K09862	Other
K09879	Motility/adhesion
K09880	Carbohydrate metabolism
K09882	Carbohydrate metabolism
K09883	Energy/central carbon
K09888	Cell envelope/biogenesis
K09889	Defense systems
K09890	Translation/ribosome
K09891	Other
K09892	Cell envelope/biogenesis
K09893	Translation/ribosome
K09895	Other
K09897	Other
K09898	Other
K09899	Other
K09901	Other
K09903	Carbohydrate metabolism
K09904	Other
K09906	Translation/ribosome
K09908	Other
K09909	Other
K09910	Other
K09911	Other
K09912	Other
K09913	Nucleotide metabolism
K09914	Transport
K09915	Other
K09916	Other
K09918	Other
K09919	Other
K09920	Other
K09921	Other
K09923	Other
K09927	Other
K09931	Other
K09933	Carbohydrate metabolism
K09936	Transport
K09937	Other
K09945	Other
K09949	Cell envelope/biogenesis
K09951	Defense systems
K09952	Defense systems
K09955	Other
K09958	Other
K09960	Other
K09961	Other
K09962	Other
K09963	Other
K09969	Transport
K09970	Transport
K09971	Transport
K09972	Transport
K09973	Other
K09975	Other
K09976	Other
K09978	Other
K09979	Other
K09985	Other
K09986	Other
K09987	Other
K09988	Energy/central carbon
K09991	Other
K09994	Amino acid metabolism
K09996	Transport
K09997	Transport
K09998	Transport
K09999	Transport
K10000	Transport
K10001	Transport
K10002	Transport
K10003	Transport
K10004	Transport
K10005	Transport
K10008	Transport
K10009	Transport
K10010	Transport
K10011	Energy/central carbon
K10012	Carbohydrate metabolism
K10013	Transport
K10014	Transport
K10015	Transport
K10016	Transport
K10017	Transport
K10019	Transport
K10020	Transport
K10021	Transport
K10024	Transport
K10026	Other
K10027	Lipid metabolism
K10036	Transport
K10037	Transport
K10038	Transport
K10039	Transport
K10040	Transport
K10041	Transport
K10107	Transport
K10108	Transport
K10109	Transport
K10110	Transport
K10111	Transport
K10112	Transport
K10117	Transport
K10118	Transport
K10119	Transport
K10120	Transport
K10121	Transport
K10122	Transport
K10125	Signal transduction
K10126	Signal transduction
K10188	Transport
K10190	Transport
K10200	Transport
K10202	Transport
K10206	Carbohydrate metabolism
K10208	Carbohydrate metabolism
K10213	Carbohydrate metabolism
K10218	Energy/central carbon
K10219	Energy/central carbon
K10236	Transport
K10237	Transport
K10238	Transport
K10253	Synaptic pathways
K10254	Energy/central carbon
K10353	Carbohydrate metabolism
K10439	Transport
K10440	Transport
K10441	Transport
K10530	SCFA fermentation
K10531	Amino acid metabolism
K10536	Carbohydrate metabolism
K10537	Transport
K10538	Transport
K10539	Transport
K10540	Transport
K10541	Transport
K10542	Transport
K10543	Transport
K10544	Transport
K10545	Transport
K10547	Transport
K10551	Transport
K10555	Transport
K10556	Transport
K10557	Transport
K10558	Transport
K10562	Transport
K10563	DNA replication/repair/maintenance
K10617	Energy/central carbon
K10678	Other
K10679	Other
K10680	Other
K10708	Carbohydrate metabolism
K10710	Transport
K10711	Transcriptional regulation
K10715	Signal transduction
K10716	Transport
K10764	Other
K10773	DNA replication/repair/maintenance
K10778	Transcriptional regulation
K10793	Amino acid metabolism
K10804	Carbohydrate metabolism
K10805	Carbohydrate metabolism
K10806	Carbohydrate metabolism
K10810	Transcriptional regulation
K10823	Transport
K10830	Transport
K10831	Transport
K10834	Transport
K10851	Other
K10857	DNA replication/repair/maintenance
K10914	Transcriptional regulation
K10947	Transcriptional regulation
K10974	Transport
K10975	Transport
K10984	Carbohydrate metabolism
K10985	Carbohydrate metabolism
K10986	Carbohydrate metabolism
K11021	Defense systems
K11041	Defense systems
K11050	Antibiotic resistance/efflux
K11051	Antibiotic resistance/efflux
K11065	Energy/central carbon
K11066	Amino acid metabolism
K11068	Other
K11069	Transport
K11070	Transport
K11071	Transport
K11072	Transport
K11073	Transport
K11074	Transport
K11075	Transport
K11076	Transport
K11085	Transport
K11102	Transport
K11103	Transport
K11104	Transport
K11105	Transport
K11144	DNA replication/repair/maintenance
K11145	RNA processing/degradation
K11175	Carbohydrate metabolism
K11177	Carbohydrate metabolism
K11178	Cofactors/vitamins
K11179	Translation/ribosome
K11183	Energy/central carbon
K11192	Carbohydrate metabolism
K11194	Carbohydrate metabolism
K11195	Carbohydrate metabolism
K11196	Carbohydrate metabolism
K11200	Carbohydrate metabolism
K11201	Carbohydrate metabolism
K11202	Carbohydrate metabolism
K11203	Carbohydrate metabolism
K11206	Amino acid metabolism
K11208	Carbohydrate metabolism
K11209	Energy/central carbon
K11249	Antibiotic resistance/efflux
K11250	Antibiotic resistance/efflux
K11258	Carbohydrate metabolism
K11312	Translation/ribosome
K11391	RNA processing/degradation
K11392	RNA processing/degradation
K11441	Other
K11473	Transport
K11474	Transcriptional regulation
K11524	DNA replication/repair/maintenance
K11527	Signal transduction
K11529	Carbohydrate metabolism
K11530	Energy/central carbon
K11531	Transcriptional regulation
K11532	Carbohydrate metabolism
K11534	Transcriptional regulation
K11535	Transport
K11537	Antibiotic resistance/efflux
K11604	Transport
K11605	Transport
K11606	Transport
K11607	Transport
K11614	Signal transduction
K11615	Signal transduction
K11616	Transport
K11617	Signal transduction
K11618	Signal transduction
K11621	Other
K11622	Transcriptional regulation
K11623	Signal transduction
K11635	Transport
K11645	Energy/central carbon
K11685	DNA replication/repair/maintenance
K11693	Cell envelope/biogenesis
K11695	Cell envelope/biogenesis
K11704	Transport
K11705	Transport
K11706	Transport
K11707	Transport
K11709	Transport
K11710	Transport
K11717	Amino acid metabolism
K11719	Cell envelope/biogenesis
K11720	Transport
K11732	Tryptophan metabolism
K11733	Transport
K11734	Transport
K11735	Synaptic pathways
K11736	Transport
K11737	Transport
K11738	Transport
K11741	Signal transduction
K11742	Transport
K11743	Transport
K11744	Transport
K11745	Antibiotic resistance/efflux
K11746	Antibiotic resistance/efflux
K11747	Antibiotic resistance/efflux
K11748	Antibiotic resistance/efflux
K11749	Protein folding/quality control
K11750	Carbohydrate metabolism
K11751	Carbohydrate metabolism
K11752	Energy/central carbon
K11753	Cofactors/vitamins
K11754	Translation/ribosome
K11755	Carbohydrate metabolism
K11811	Antibiotic resistance/efflux
K11814	Antibiotic resistance/efflux
K11815	Antibiotic resistance/efflux
K11891	Transport
K11892	Transport
K11893	Transport
K11895	Transport
K11896	Transport
K11900	Transport
K11901	Transport
K11903	Transport
K11904	Transport
K11905	Transport
K11906	Transport
K11907	Transport
K11910	Transport
K11911	Transport
K11922	Transcriptional regulation
K11923	Transcriptional regulation
K11924	Transport
K11925	Transcriptional regulation
K11926	Transcriptional regulation
K11927	DNA replication/repair/maintenance
K11928	Transport
K11929	Transport
K11931	Carbohydrate metabolism
K11932	Transcriptional regulation
K11933	Energy/central carbon
K11935	Motility/adhesion
K11936	Carbohydrate metabolism
K11937	Motility/adhesion
K11938	Carbohydrate metabolism
K11939	Transport
K11940	Transcriptional regulation
K11941	Other
K11959	Transport
K11960	Transport
K11961	Transport
K11962	Transport
K11963	Transport
K11991	RNA processing/degradation
K12071	Motility/adhesion
K12085	Transport
K12132	Amino acid metabolism
K12136	Other
K12137	Other
K12141	Other
K12142	Other
K12143	Other
K12147	Other
K12148	Motility/adhesion
K12149	DNA replication/repair/maintenance
K12151	Transcriptional regulation
K12152	Carbohydrate metabolism
K12204	Mobilome
K12216	Other
K12238	Lipid metabolism
K12257	Carbohydrate metabolism
K12262	Energy/central carbon
K12264	Amino acid metabolism
K12265	Cofactors/vitamins
K12266	Transcriptional regulation
K12267	Amino acid metabolism
K12268	Transport
K12269	Transport
K12270	Transport
K12288	Motility/adhesion
K12289	Motility/adhesion
K12290	Motility/adhesion
K12292	Carbohydrate metabolism
K12293	Transport
K12294	Signal transduction
K12296	Mobilome
K12297	RNA processing/degradation
K12308	Carbohydrate metabolism
K12339	Amino acid metabolism
K12340	Transport
K12343	Carbohydrate metabolism
K12368	Transport
K12369	Transport
K12370	Transport
K12371	Transport
K12372	Transport
K12373	Carbohydrate metabolism
K12409	Carbohydrate metabolism
K12410	Cofactors/vitamins
K12450	Energy/central carbon
K12500	Other
K12506	Carbohydrate metabolism
K12516	Energy/central carbon
K12524	Carbohydrate metabolism
K12525	Carbohydrate metabolism
K12527	Other
K12543	Transport
K12549	Energy/central carbon
K12551	Carbohydrate metabolism
K12552	Cell envelope/biogenesis
K12553	Cell envelope/biogenesis
K12554	Amino acid metabolism
K12555	Cell envelope/biogenesis
K12556	Cell envelope/biogenesis
K12573	Translation/ribosome
K12574	Translation/ribosome
K12582	Energy/central carbon
K12658	Energy/central carbon
K12678	Motility/adhesion
K12687	Cell envelope/biogenesis
K12700	Carbohydrate metabolism
K12940	Amino acid metabolism
K12941	Amino acid metabolism
K12942	Transport
K12943	Transport
K12944	Nucleotide metabolism
K12952	Transport
K12955	Transport
K12957	Energy/central carbon
K12960	Carbohydrate metabolism
K12961	DNA replication/repair/maintenance
K12962	Carbohydrate metabolism
K12963	Carbohydrate metabolism
K12972	Energy/central carbon
K12973	Lipid metabolism
K12974	Lipid metabolism
K12975	Other
K12979	Other
K12984	Carbohydrate metabolism
K12990	Carbohydrate metabolism
K12996	Carbohydrate metabolism
K12997	Carbohydrate metabolism
K12999	Carbohydrate metabolism
K13007	Carbohydrate metabolism
K13012	Cell envelope/biogenesis
K13013	Cell envelope/biogenesis
K13014	Carbohydrate metabolism
K13020	Carbohydrate metabolism
K13038	Amino acid metabolism
K13051	Carbohydrate metabolism
K13052	Cell envelope/biogenesis
K13053	Cell envelope/biogenesis
K13060	Carbohydrate metabolism
K13069	Carbohydrate metabolism
K13075	Carbohydrate metabolism
K13252	Carbohydrate metabolism
K13255	Transport
K13256	Other
K13283	Transport
K13288	Carbohydrate metabolism
K13292	Carbohydrate metabolism
K13301	Transport
K13378	Energy/central carbon
K13408	Transport
K13409	Transport
K13472	Carbohydrate metabolism
K13481	Carbohydrate metabolism
K13482	Carbohydrate metabolism
K13483	Transport
K13485	Energy/central carbon
K13497	Tryptophan metabolism
K13498	Tryptophan metabolism
K13503	Tryptophan metabolism
K13529	Transcriptional regulation
K13530	Transcriptional regulation
K13531	Amino acid metabolism
K13541	Carbohydrate metabolism
K13542	Carbohydrate metabolism
K13543	Carbohydrate metabolism
K13566	Carbohydrate metabolism
K13581	DNA replication/repair/maintenance
K13582	Other
K13583	Cell envelope/biogenesis
K13584	Signal transduction
K13598	Signal transduction
K13599	Transcriptional regulation
K13613	Secondary metabolism
K13620	DNA replication/repair/maintenance
K13628	Other
K13629	Transport
K13630	Transport
K13631	Transcriptional regulation
K13632	Transcriptional regulation
K13634	Transcriptional regulation
K13635	Transcriptional regulation
K13636	Transcriptional regulation
K13638	Transcriptional regulation
K13639	Transcriptional regulation
K13641	Transcriptional regulation
K13650	Motility/adhesion
K13652	Transcriptional regulation
K13653	Transcriptional regulation
K13654	Transcriptional regulation
K13657	Carbohydrate metabolism
K13659	Other
K13662	DNA replication/repair/maintenance
K13677	Carbohydrate metabolism
K13678	Carbohydrate metabolism
K13683	Carbohydrate metabolism
K13684	Carbohydrate metabolism
K13688	Carbohydrate metabolism
K13694	Carbohydrate metabolism
